query_image,top1_result,label_query,label_top1,error_type,ly_do_sai,lý do sai,query_idx,top1_idx,AP,query_path,top1_path,debug_auto
795c6f8f85e6d8e5894c74f926be37f0.jpg,f3c5cc20c62046e584163a9364e11425.jpg,3637220226,2240027280,Lỗi do màu sắc/nền giống nhau,"Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.","Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.",8,29729,0.0,E:\study\DoAnPython\project\data\raw\train_images\795c6f8f85e6d8e5894c74f926be37f0.jpg,E:\study\DoAnPython\project\data\raw\train_images\f3c5cc20c62046e584163a9364e11425.jpg,"{""color_dist"": 0.12298697978258133, ""q_white_border"": 0.9322916666666666, ""t_white_border"": 0.9111328125, ""q_edge"": 0.07366305589675903, ""t_edge"": 0.05197424069046974}"
9720558f60f0f26b037dc054e824b8fc.jpg,5f0872e15a99da0487ea487a415b91c4.jpg,1445188681,4117627196,Lỗi do màu sắc/nền giống nhau,"Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.","Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.",18,20962,0.0,E:\study\DoAnPython\project\data\raw\train_images\9720558f60f0f26b037dc054e824b8fc.jpg,E:\study\DoAnPython\project\data\raw\train_images\5f0872e15a99da0487ea487a415b91c4.jpg,"{""color_dist"": 0.06403179466724396, ""q_white_border"": 0.69580078125, ""t_white_border"": 0.4931640625, ""q_edge"": 0.0750313550233841, ""t_edge"": 0.07389205694198608}"
e1a5f03b7588d013daccce3cc6f33c99.jpg,0e9d686b28e24b7f2b2970af87ed8e21.jpg,2699450457,514101767,Lỗi do màu sắc/nền giống nhau,"Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.","Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.",49,9758,0.0,E:\study\DoAnPython\project\data\raw\train_images\e1a5f03b7588d013daccce3cc6f33c99.jpg,E:\study\DoAnPython\project\data\raw\train_images\0e9d686b28e24b7f2b2970af87ed8e21.jpg,"{""color_dist"": 0.08739849179983139, ""q_white_border"": 0.7115885416666666, ""t_white_border"": 0.5857747395833334, ""q_edge"": 0.08330748975276947, ""t_edge"": 0.1554538905620575}"
ed44a3b145e4cc50229522e15b5323af.jpg,e185854cd699c468620643c33e976c83.jpg,2304809467,2608223592,Lỗi do màu sắc/nền giống nhau,"Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.","Hai ảnh có màu sắc, nền hoặc bố cục tổng thể giống nhau nên mô hình ưu tiên đặc trưng nền/màu thay vì đúng sản phẩm.",55,2111,0.0,E:\study\DoAnPython\project\data\raw\train_images\ed44a3b145e4cc50229522e15b5323af.jpg,E:\study\DoAnPython\project\data\raw\train_images\e185854cd699c468620643c33e976c83.jpg,"{""color_dist"": 0.3993299901485443, ""q_white_border"": 0.9025065104166666, ""t_white_border"": 0.4915364583333333, ""q_edge"": 0.02595040202140808, ""t_edge"": 0.06514070928096771}"
685c22d9f3a1e057db69914f6980809b.jpg,1d1ac481e240864d9b70d9043e3f40d2.jpg,1706249589,3097344893,Lỗi do góc chụp khác nhau quá nhiều,"Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.","Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.",13,26130,0.0,E:\study\DoAnPython\project\data\raw\train_images\685c22d9f3a1e057db69914f6980809b.jpg,E:\study\DoAnPython\project\data\raw\train_images\1d1ac481e240864d9b70d9043e3f40d2.jpg,"{""color_dist"": 0.40668678283691406, ""q_white_border"": 0.07796223958333333, ""t_white_border"": 0.07747395833333333, ""q_edge"": 0.052693430334329605, ""t_edge"": 0.06053304672241211}"
c99e19b4b6aa7b4811fcaeed97a12d52.jpg,6af85140f60b1f91a6d5eac8b1b5f18e.jpg,3947628716,2221700681,Lỗi do góc chụp khác nhau quá nhiều,"Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.","Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.",14,8626,0.0,E:\study\DoAnPython\project\data\raw\train_images\c99e19b4b6aa7b4811fcaeed97a12d52.jpg,E:\study\DoAnPython\project\data\raw\train_images\6af85140f60b1f91a6d5eac8b1b5f18e.jpg,"{""color_dist"": 0.5211849212646484, ""q_white_border"": 0.20670572916666666, ""t_white_border"": 0.0, ""q_edge"": 0.08242776989936829, ""t_edge"": 0.0626552551984787}"
fb2d94637e92997c0708adf9bf99377f.jpg,16f81057a6b87f5799460626654102c5.jpg,1060961612,4032101535,Lỗi do góc chụp khác nhau quá nhiều,"Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.","Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.",23,23807,0.0,E:\study\DoAnPython\project\data\raw\train_images\fb2d94637e92997c0708adf9bf99377f.jpg,E:\study\DoAnPython\project\data\raw\train_images\16f81057a6b87f5799460626654102c5.jpg,"{""color_dist"": 0.6414921283721924, ""q_white_border"": 0.6407877604166666, ""t_white_border"": 0.0, ""q_edge"": 0.12937471270561218, ""t_edge"": 0.11069253087043762}"
a92eb87ef7f7052f48360b93717bebfd.jpg,4b8affda7b75ebe3b889b8f1039a07c6.jpg,169470278,38185708,Lỗi do góc chụp khác nhau quá nhiều,"Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.","Sản phẩm được chụp ở góc nhìn, tỷ lệ hoặc cách đặt khác nhau quá nhiều nên mô hình không khớp tốt đặc trưng hình dạng.",124,30981,0.0,E:\study\DoAnPython\project\data\raw\train_images\a92eb87ef7f7052f48360b93717bebfd.jpg,E:\study\DoAnPython\project\data\raw\train_images\4b8affda7b75ebe3b889b8f1039a07c6.jpg,"{""color_dist"": 0.3059343099594116, ""q_white_border"": 0.0009765625, ""t_white_border"": 0.4075520833333333, ""q_edge"": 0.059953249990940094, ""t_edge"": 0.048714205622673035}"
39e800026b435837fe732ec95143d94f.jpg,34e78d71acd727758d3fe16ba08b9f6b.jpg,2342771184,3135057640,Lỗi do chữ quảng cáo che sản phẩm,"Ảnh có nhiều chữ, banner hoặc nội dung quảng cáo che/lấn sản phẩm, làm đặc trưng ảnh bị nhiễu.","Ảnh có nhiều chữ, banner hoặc nội dung quảng cáo che/lấn sản phẩm, làm đặc trưng ảnh bị nhiễu.",756,21883,0.0,E:\study\DoAnPython\project\data\raw\train_images\39e800026b435837fe732ec95143d94f.jpg,E:\study\DoAnPython\project\data\raw\train_images\34e78d71acd727758d3fe16ba08b9f6b.jpg,"{""color_dist"": 0.1675492227077484, ""q_white_border"": 0.06868489583333333, ""t_white_border"": 0.40185546875, ""q_edge"": 0.15972456336021423, ""t_edge"": 0.1343756765127182}"
64ac780d40b5117e1c1b7484e773323f.jpg,5c2d35f38c84e1b998f4ac0973b54e89.jpg,1680934077,871931738,Lỗi do chữ quảng cáo che sản phẩm,"Ảnh có nhiều chữ, banner hoặc nội dung quảng cáo che/lấn sản phẩm, làm đặc trưng ảnh bị nhiễu.","Ảnh có nhiều chữ, banner hoặc nội dung quảng cáo che/lấn sản phẩm, làm đặc trưng ảnh bị nhiễu.",854,33226,0.0,E:\study\DoAnPython\project\data\raw\train_images\64ac780d40b5117e1c1b7484e773323f.jpg,E:\study\DoAnPython\project\data\raw\train_images\5c2d35f38c84e1b998f4ac0973b54e89.jpg,"{""color_dist"": 0.5190814137458801, ""q_white_border"": 0.7555338541666666, ""t_white_border"": 0.97021484375, ""q_edge"": 0.11638233065605164, ""t_edge"": 0.05318227782845497}"
